Empresa,Canal_Distribuicao,Mercado,Volume_Venda,Data
E1,C1,AN,9498.0,2012-01-01 00:00:00.000
E1,C1,AN,9596.0,2012-02-01 00:00:00.000
E1,C1,AN,10424.0,2012-03-01 00:00:00.000
E1,C1,AN,12276.0,2012-04-01 00:00:00.000
E1,C1,AN,11616.0,2012-05-01 00:00:00.000
E1,C1,AN,8744.0,2012-06-01 00:00:00.000
E1,C1,AN,9914.0,2012-07-01 00:00:00.000
E1,C1,AN,10894.0,2012-08-01 00:00:00.000
E1,C1,AN,12560.0,2012-09-01 00:00:00.000
E1,C1,AN,12162.0,2012-10-01 00:00:00.000
E1,C1,AN,12124.0,2012-11-01 00:00:00.000
E1,C1,AN,11316.0,2012-12-01 00:00:00.000
E1,C1,AN,15480.0,2013-01-01 00:00:00.000
E1,C1,AN,9576.0,2013-02-01 00:00:00.000
E1,C1,AN,11262.0,2013-03-01 00:00:00.000
E1,C1,AN,12106.0,2013-04-01 00:00:00.000
E1,C1,AN,7794.0,2013-05-01 00:00:00.000
E1,C1,AN,8802.0,2013-06-01 00:00:00.000
E1,C1,AN,7206.0,2013-07-01 00:00:00.000
E1,C1,AN,8580.0,2013-08-01 00:00:00.000
E1,C1,AN,8975.0,2013-09-01 00:00:00.000
E1,C1,AN,8105.0,2013-10-01 00:00:00.000
E1,C1,AN,8280.0,2013-11-01 00:00:00.000
E1,C1,AN,8668.0,2013-12-01 00:00:00.000
E1,C1,AN,8534.0,2014-01-01 00:00:00.000
E1,C1,AN,8300.0,2014-02-01 00:00:00.000
E1,C1,AN,13412.0,2014-03-01 00:00:00.000
E1,C1,AN,11436.0,2014-04-01 00:00:00.000
E1,C1,AN,9736.0,2014-05-01 00:00:00.000
E1,C1,AN,9118.0,2014-06-01 00:00:00.000
E1,C1,AN,9480.0,2014-07-01 00:00:00.000
E1,C1,AN,10042.0,2014-08-01 00:00:00.000
E1,C1,AN,9362.0,2014-09-01 00:00:00.000
E1,C1,AN,12306.0,2014-10-01 00:00:00.000
E1,C1,AN,8438.0,2014-11-01 00:00:00.000
E1,C1,AN,15539.0,2014-12-01 00:00:00.000
E1,C1,AN,10070.0,2015-01-01 00:00:00.000
E1,C1,AN,9434.0,2015-02-01 00:00:00.000
E1,C1,AN,14882.0,2015-03-01 00:00:00.000
E1,C1,AN,12618.0,2015-04-01 00:00:00.000
E1,C1,AN,8516.0,2015-05-01 00:00:00.000
E1,C1,AN,9426.0,2015-06-01 00:00:00.000
E1,C1,AN,10422.0,2015-07-01 00:00:00.000
E1,C1,AN,8916.0,2015-08-01 00:00:00.000
E1,C1,AN,10648.0,2015-09-01 00:00:00.000
E1,C1,AN,9790.0,2015-10-01 00:00:00.000
E1,C1,AN,9544.0,2015-11-01 00:00:00.000
E1,C1,AN,7054.0,2015-12-01 00:00:00.000
E1,C1,AN,4812.0,2016-01-01 00:00:00.000
E1,C1,AN,6226.0,2016-02-01 00:00:00.000
E1,C1,AN,9128.0,2016-03-01 00:00:00.000
E1,C1,AN,7930.0,2016-04-01 00:00:00.000
E1,C1,AN,9462.0,2016-05-01 00:00:00.000
E1,C1,AN,10346.0,2016-06-01 00:00:00.000
E1,C1,AN,8412.0,2016-07-01 00:00:00.000
E1,C1,AN,10836.0,2016-08-01 00:00:00.000
E1,C1,AN,8160.0,2016-09-01 00:00:00.000
E1,C1,AN,7448.0,2016-10-01 00:00:00.000
E1,C1,AN,6968.0,2016-11-01 00:00:00.000
E1,C1,AN,10996.0,2016-12-01 00:00:00.000
E1,C1,AN,10546.0,2017-01-01 00:00:00.000
E1,C1,AN,10012.0,2017-02-01 00:00:00.000
E1,C1,AN,10990.0,2017-03-01 00:00:00.000
E1,C1,AN,10138.0,2017-04-01 00:00:00.000
E1,C1,AN,11388.0,2017-05-01 00:00:00.000
E1,C1,AN,12076.0,2017-06-01 00:00:00.000
E1,C1,AN,11890.0,2017-07-01 00:00:00.000
E1,C1,AN,14758.0,2017-08-01 00:00:00.000
E1,C1,AN,10108.0,2017-09-01 00:00:00.000
E1,C1,AN,11904.0,2017-10-01 00:00:00.000
E1,C1,AN,11030.0,2017-11-01 00:00:00.000
E1,C1,AN,11476.0,2017-12-01 00:00:00.000
E1,C1,AN,10112.0,2018-01-01 00:00:00.000
E1,C1,AN,11658.0,2018-02-01 00:00:00.000
E1,C1,AN,9936.0,2018-03-01 00:00:00.000
E1,C1,AN,12684.0,2018-04-01 00:00:00.000
E1,C1,AN,12120.0,2018-05-01 00:00:00.000
E1,C1,AN,9520.0,2018-06-01 00:00:00.000
E1,C1,AN,9560.0,2018-07-01 00:00:00.000
E1,C1,AN,8478.0,2018-08-01 00:00:00.000
E1,C1,AN,9386.0,2018-09-01 00:00:00.000
