Empresa,Canal_Distribuicao,Mercado,Volume_Venda,Data
E3,C1,AS,5388.0,2012-01-01 00:00:00.000
E3,C1,AS,14226.0,2012-02-01 00:00:00.000
E3,C1,AS,21498.0,2012-03-01 00:00:00.000
E3,C1,AS,4610.0,2012-04-01 00:00:00.000
E3,C1,AS,10144.0,2012-05-01 00:00:00.000
E3,C1,AS,10000.0,2012-06-01 00:00:00.000
E3,C1,AS,22976.0,2012-07-01 00:00:00.000
E3,C1,AS,29000.0,2012-08-01 00:00:00.000
E3,C1,AS,8500.0,2012-09-01 00:00:00.000
E3,C1,AS,24550.0,2012-10-01 00:00:00.000
E3,C1,AS,20790.0,2012-11-01 00:00:00.000
E3,C1,AS,30850.0,2012-12-01 00:00:00.000
E3,C1,AS,6126.0,2013-01-01 00:00:00.000
E3,C1,AS,18300.0,2013-02-01 00:00:00.000
E3,C1,AS,11900.0,2013-03-01 00:00:00.000
E3,C1,AS,15800.0,2013-04-01 00:00:00.000
E3,C1,AS,27512.0,2013-05-01 00:00:00.000
E3,C1,AS,11400.0,2013-06-01 00:00:00.000
E3,C1,AS,25654.0,2013-07-01 00:00:00.000
E3,C1,AS,23500.0,2013-08-01 00:00:00.000
E3,C1,AS,15968.0,2013-09-01 00:00:00.000
E3,C1,AS,19806.0,2013-10-01 00:00:00.000
E3,C1,AS,23794.0,2013-11-01 00:00:00.000
E3,C1,AS,52100.0,2013-12-01 00:00:00.000
E3,C1,AS,4200.0,2014-01-01 00:00:00.000
E3,C1,AS,23100.0,2014-02-01 00:00:00.000
E3,C1,AS,31600.0,2014-03-01 00:00:00.000
E3,C1,AS,26300.0,2014-04-01 00:00:00.000
E3,C1,AS,21900.0,2014-05-01 00:00:00.000
E3,C1,AS,27300.0,2014-06-01 00:00:00.000
E3,C1,AS,10040.0,2014-07-01 00:00:00.000
E3,C1,AS,29200.0,2014-08-01 00:00:00.000
E3,C1,AS,3000.0,2014-09-01 00:00:00.000
E3,C1,AS,25700.0,2014-10-01 00:00:00.000
E3,C1,AS,14500.0,2014-11-01 00:00:00.000
E3,C1,AS,45190.0,2014-12-01 00:00:00.000
E3,C1,AS,11200.0,2015-01-01 00:00:00.000
E3,C1,AS,25840.0,2015-02-01 00:00:00.000
E3,C1,AS,15200.0,2015-03-01 00:00:00.000
E3,C1,AS,21970.0,2015-04-01 00:00:00.000
E3,C1,AS,18290.0,2015-05-01 00:00:00.000
E3,C1,AS,19700.0,2015-06-01 00:00:00.000
E3,C1,AS,15900.0,2015-07-01 00:00:00.000
E3,C1,AS,24244.0,2015-08-01 00:00:00.000
E3,C1,AS,18210.0,2015-09-01 00:00:00.000
E3,C1,AS,18230.0,2015-10-01 00:00:00.000
E3,C1,AS,11716.0,2015-11-01 00:00:00.000
E3,C1,AS,16544.0,2015-12-01 00:00:00.000
E3,C1,AS,5010.0,2016-01-01 00:00:00.000
E3,C1,AS,17130.0,2016-02-01 00:00:00.000
E3,C1,AS,61524.0,2016-03-01 00:00:00.000
E3,C1,AS,22020.0,2016-04-01 00:00:00.000
E3,C1,AS,26980.0,2016-05-01 00:00:00.000
E3,C1,AS,29358.0,2016-06-01 00:00:00.000
E3,C1,AS,36350.0,2016-07-01 00:00:00.000
E3,C1,AS,36250.0,2016-08-01 00:00:00.000
E3,C1,AS,29300.0,2016-09-01 00:00:00.000
E3,C1,AS,41900.0,2016-10-01 00:00:00.000
E3,C1,AS,48414.0,2016-11-01 00:00:00.000
E3,C1,AS,63524.0,2016-12-01 00:00:00.000
E3,C1,AS,27120.0,2017-01-01 00:00:00.000
E3,C1,AS,17950.0,2017-02-01 00:00:00.000
E3,C1,AS,33300.0,2017-03-01 00:00:00.000
E3,C1,AS,25600.0,2017-04-01 00:00:00.000
E3,C1,AS,45398.0,2017-06-01 00:00:00.000
E3,C1,AS,16400.0,2017-07-01 00:00:00.000
E3,C1,AS,17582.0,2017-08-01 00:00:00.000
E3,C1,AS,26750.0,2017-09-01 00:00:00.000
E3,C1,AS,26800.0,2017-10-01 00:00:00.000
E3,C1,AS,21850.0,2017-11-01 00:00:00.000
E3,C1,AS,47892.0,2017-12-01 00:00:00.000
E3,C1,AS,5150.0,2018-01-01 00:00:00.000
E3,C1,AS,27238.0,2018-02-01 00:00:00.000
E3,C1,AS,26600.0,2018-03-01 00:00:00.000
E3,C1,AS,29950.0,2018-04-01 00:00:00.000
E3,C1,AS,27750.0,2018-05-01 00:00:00.000
E3,C1,AS,39280.0,2018-06-01 00:00:00.000
E3,C1,AS,20120.0,2018-07-01 00:00:00.000
E3,C1,AS,22880.0,2018-08-01 00:00:00.000
E3,C1,AS,38220.0,2018-09-01 00:00:00.000
E3,C1,AS,9250.0,2018-10-01 00:00:00.000
E3,C1,AS,16650.0,2018-11-01 00:00:00.000
E3,C1,AS,53124.0,2018-12-01 00:00:00.000
E3,C1,AS,23730.0,2019-01-01 00:00:00.000
E3,C1,AS,23414.0,2019-02-01 00:00:00.000
E3,C1,AS,41130.0,2019-03-01 00:00:00.000
E3,C1,AS,29190.0,2019-04-01 00:00:00.000
E3,C1,AS,23064.0,2019-05-01 00:00:00.000
E3,C1,AS,68794.0,2019-06-01 00:00:00.000
E3,C1,AS,20200.0,2019-07-01 00:00:00.000
E3,C1,AS,38178.0,2019-08-01 00:00:00.000
E3,C1,AS,57756.0,2019-09-01 00:00:00.000
E3,C1,AS,13514.0,2019-10-01 00:00:00.000
E3,C1,AS,62628.0,2019-11-01 00:00:00.000
E3,C1,AS,15542.0,2019-12-01 00:00:00.000
E3,C1,AS,23564.0,2020-01-01 00:00:00.000
E3,C1,AS,19800.0,2020-02-01 00:00:00.000
E3,C1,AS,61830.0,2020-03-01 00:00:00.000
E3,C1,AS,23390.0,2020-04-01 00:00:00.000
E3,C1,AS,30528.0,2020-05-01 00:00:00.000
E3,C1,AS,53398.0,2020-06-01 00:00:00.000
E3,C1,AS,15258.0,2020-07-01 00:00:00.000
E3,C1,AS,34724.0,2020-08-01 00:00:00.000
E3,C1,AS,67448.0,2020-09-01 00:00:00.000
E3,C1,AS,9208.0,2020-10-01 00:00:00.000
E3,C1,AS,45100.0,2020-11-01 00:00:00.000
E3,C1,AS,71572.0,2020-12-01 00:00:00.000
E3,C1,AS,13058.0,2021-01-01 00:00:00.000
E3,C1,AS,26782.0,2021-02-01 00:00:00.000
E3,C1,AS,8198.0,2021-03-01 00:00:00.000
E3,C1,AS,20184.0,2021-04-01 00:00:00.000
