Empresa,Canal_Distribuicao,Mercado,Volume_Venda,Data
BI,ME,R2,23564.0,2020-01-01 00:00:00.000
BI,ME,R2,19800.0,2020-02-01 00:00:00.000
BI,ME,R2,61830.0,2020-03-01 00:00:00.000
BI,ME,R2,23390.0,2020-04-01 00:00:00.000
BI,ME,R2,30528.0,2020-05-01 00:00:00.000
BI,ME,R2,53398.0,2020-06-01 00:00:00.000
BI,ME,R2,15258.0,2020-07-01 00:00:00.000
BI,ME,R2,34724.0,2020-08-01 00:00:00.000
BI,ME,R2,67448.0,2020-09-01 00:00:00.000
BI,ME,R2,9208.0,2020-10-01 00:00:00.000
BI,ME,R2,45100.0,2020-11-01 00:00:00.000
BI,ME,R2,71572.0,2020-12-01 00:00:00.000
BI,ME,R2,13058.0,2021-01-01 00:00:00.000
BI,ME,R2,26782.0,2021-02-01 00:00:00.000
BI,ME,R2,8198.0,2021-03-01 00:00:00.000
BI,ME,R2,20184.0,2021-04-01 00:00:00.000
BI,ME,R2,19376.0,2021-05-01 00:00:00.000
BI,ME,R2,53266.0,2021-06-01 00:00:00.000
BI,ME,R2,16436.0,2021-07-01 00:00:00.000
BI,ME,R2,34406.0,2021-08-01 00:00:00.000
BI,ME,R2,27794.0,2021-09-01 00:00:00.000
BI,ME,R2,23320.0,2021-10-01 00:00:00.000
BI,ME,R2,60170.0,2021-11-01 00:00:00.000
BI,ME,R2,38456.0,2021-12-01 00:00:00.000
BI,ME,R2,22100.0,2022-01-01 00:00:00.000
BI,ME,R3,46478.0,2012-01-01 00:00:00.000
BI,ME,R3,36412.0,2012-02-01 00:00:00.000
BI,ME,R3,41470.0,2012-03-01 00:00:00.000
BI,ME,R3,39242.0,2012-04-01 00:00:00.000
BI,ME,R3,32868.0,2012-05-01 00:00:00.000
BI,ME,R3,37906.0,2012-06-01 00:00:00.000
BI,ME,R3,38944.0,2012-07-01 00:00:00.000
BI,ME,R3,46604.0,2012-08-01 00:00:00.000
BI,ME,R3,41344.0,2012-09-01 00:00:00.000
BI,ME,R3,44976.0,2012-10-01 00:00:00.000
BI,ME,R3,40212.0,2012-11-01 00:00:00.000
BI,ME,R3,38334.0,2012-12-01 00:00:00.000
BI,ME,R3,40614.0,2013-01-01 00:00:00.000
BI,ME,R3,41452.0,2013-02-01 00:00:00.000
BI,ME,R3,41158.0,2013-03-01 00:00:00.000
BI,ME,R3,46834.0,2013-04-01 00:00:00.000
BI,ME,R3,39098.0,2013-05-01 00:00:00.000
BI,ME,R3,49894.0,2013-06-01 00:00:00.000
BI,ME,R3,42150.0,2013-07-01 00:00:00.000
BI,ME,R3,31544.0,2013-08-01 00:00:00.000
BI,ME,R3,52782.0,2013-09-01 00:00:00.000
BI,ME,R3,47844.0,2013-10-01 00:00:00.000
BI,ME,R3,44470.0,2013-11-01 00:00:00.000
BI,ME,R3,36556.0,2013-12-01 00:00:00.000
BI,ME,R3,34974.0,2014-01-01 00:00:00.000
BI,ME,R3,41904.0,2014-02-01 00:00:00.000
BI,ME,R3,43464.0,2014-03-01 00:00:00.000
BI,ME,R3,47674.0,2014-04-01 00:00:00.000
BI,ME,R3,33832.0,2014-05-01 00:00:00.000
BI,ME,R3,42036.0,2014-06-01 00:00:00.000
BI,ME,R3,50374.0,2014-07-01 00:00:00.000
BI,ME,R3,41638.0,2014-08-01 00:00:00.000
BI,ME,R3,45014.0,2014-09-01 00:00:00.000
BI,ME,R3,34794.0,2014-10-01 00:00:00.000
BI,ME,R3,42604.0,2014-11-01 00:00:00.000
BI,ME,R3,51066.0,2014-12-01 00:00:00.000
BI,ME,R3,36782.0,2015-01-01 00:00:00.000
BI,ME,R3,42802.0,2015-02-01 00:00:00.000
BI,ME,R3,51188.0,2015-03-01 00:00:00.000
BI,ME,R3,35760.0,2015-04-01 00:00:00.000
BI,ME,R3,42396.0,2015-05-01 00:00:00.000
BI,ME,R3,35330.0,2015-06-01 00:00:00.000
BI,ME,R3,41272.0,2015-07-01 00:00:00.000
BI,ME,R3,31996.0,2015-08-01 00:00:00.000
BI,ME,R3,47484.0,2015-09-01 00:00:00.000
BI,ME,R3,35392.0,2015-10-01 00:00:00.000
BI,ME,R3,34852.0,2015-11-01 00:00:00.000
BI,ME,R3,34712.0,2015-12-01 00:00:00.000
BI,ME,R3,30368.0,2016-01-01 00:00:00.000
BI,ME,R3,39132.0,2016-02-01 00:00:00.000
BI,ME,R3,44826.0,2016-03-01 00:00:00.000
BI,ME,R3,34286.0,2016-04-01 00:00:00.000
BI,ME,R3,39532.0,2016-05-01 00:00:00.000
BI,ME,R3,39622.0,2016-06-01 00:00:00.000
BI,ME,R3,35424.0,2016-07-01 00:00:00.000
BI,ME,R3,39422.0,2016-08-01 00:00:00.000
BI,ME,R3,29898.0,2016-09-01 00:00:00.000
BI,ME,R3,40900.0,2016-10-01 00:00:00.000
BI,ME,R3,46972.0,2016-11-01 00:00:00.000
BI,ME,R3,29810.0,2016-12-01 00:00:00.000
BI,ME,R3,37210.0,2017-01-01 00:00:00.000
BI,ME,R3,44102.0,2017-02-01 00:00:00.000
BI,ME,R3,37306.0,2017-03-01 00:00:00.000
BI,ME,R3,43570.0,2017-04-01 00:00:00.000
BI,ME,R3,42804.0,2017-06-01 00:00:00.000
BI,ME,R3,40482.0,2017-07-01 00:00:00.000
BI,ME,R3,41568.0,2017-08-01 00:00:00.000
BI,ME,R3,39802.0,2017-09-01 00:00:00.000
BI,ME,R3,49108.0,2017-10-01 00:00:00.000
BI,ME,R3,45248.0,2017-11-01 00:00:00.000
BI,ME,R3,31892.0,2017-12-01 00:00:00.000
BI,ME,R3,45716.0,2018-01-01 00:00:00.000
BI,ME,R3,42460.0,2018-02-01 00:00:00.000
BI,ME,R3,40150.0,2018-03-01 00:00:00.000
BI,ME,R3,42554.0,2018-04-01 00:00:00.000
BI,ME,R3,44646.0,2018-05-01 00:00:00.000
BI,ME,R3,39858.0,2018-06-01 00:00:00.000
BI,ME,R3,36018.0,2018-07-01 00:00:00.000
BI,ME,R3,35112.0,2018-08-01 00:00:00.000
BI,ME,R3,39824.0,2018-09-01 00:00:00.000
BI,ME,R3,34350.0,2018-10-01 00:00:00.000
BI,ME,R3,39530.0,2018-11-01 00:00:00.000
BI,ME,R3,47782.0,2018-12-01 00:00:00.000
BI,ME,R3,32636.0,2019-01-01 00:00:00.000
BI,ME,R3,36392.0,2019-02-01 00:00:00.000
BI,ME,R3,32066.0,2019-03-01 00:00:00.000
BI,ME,R3,38922.0,2019-04-01 00:00:00.000
BI,ME,R3,36796.0,2019-05-01 00:00:00.000
BI,ME,R3,41896.0,2019-06-01 00:00:00.000
BI,ME,R3,39720.0,2019-07-01 00:00:00.000
BI,ME,R3,28438.0,2019-08-01 00:00:00.000
BI,ME,R3,36392.0,2019-09-01 00:00:00.000
BI,ME,R3,36194.0,2019-10-01 00:00:00.000
BI,ME,R3,46266.0,2019-11-01 00:00:00.000
BI,ME,R3,29744.0,2019-12-01 00:00:00.000
BI,ME,R3,28542.0,2020-01-01 00:00:00.000
BI,ME,R3,31194.0,2020-02-01 00:00:00.000
BI,ME,R3,40002.0,2020-03-01 00:00:00.000
BI,ME,R3,40132.0,2020-04-01 00:00:00.000
BI,ME,R3,32158.0,2020-05-01 00:00:00.000
BI,ME,R3,33842.0,2020-06-01 00:00:00.000
BI,ME,R3,35412.0,2020-07-01 00:00:00.000
BI,ME,R3,27994.0,2020-08-01 00:00:00.000
BI,ME,R3,38990.0,2020-09-01 00:00:00.000
BI,ME,R3,30960.0,2020-10-01 00:00:00.000
